latitud,longitud,cartodb_id,objectid,nom,municipi,tipus,area_ha,districte,codi,compacitat,mida,fet,ndvi,gestio,near_fores,districte_,id,id2,near_metro,near_bus,near_fcgc,near_renfe,near_tramv,rao_no_fet,near_mar,near_colls,fets_bcn_b,muni_codi,treball_am,codi_bcn_b,codi_1,modificat_,codi_vell,shape_leng,shape_area,codi_merge
2.13214528352684,41.3790674182222,"16","1",Jardins de Can Mantega,Barcelona,Parc,0.89525092595,Sants-Montjuïc,SMO001,23.3045768484,0.5 - 1 Ha,"1",0,,2341.04960431,SMO,1,"1",342.369555451,131.392522823,1306.93057049,"576",1061.94322887,,1,2387.97257088,SI,SMO,NO,SMO001,SMO001,,SMO001,384.152405673,8952.5092595,SMO001
2.13212819156517,41.379124280739,"16","1",Jardins de Can Mantega,Barcelona,Parc,0.89525092595,Sants-Montjuïc,SMO001,23.3045768484,0.5 - 1 Ha,"1",0,,2341.04960431,SMO,1,"1",342.369555451,131.392522823,1306.93057049,"576",1061.94322887,,1,2387.97257088,SI,SMO,NO,SMO001,SMO001,,SMO001,384.152405673,8952.5092595,SMO001
2.13212181655355,41.3791541195806,"16","1",Jardins de Can Mantega,Barcelona,Parc,0.89525092595,Sants-Montjuïc,SMO001,23.3045768484,0.5 - 1 Ha,"1",0,,2341.04960431,SMO,1,"1",342.369555451,131.392522823,1306.93057049,"576",1061.94322887,,1,2387.97257088,SI,SMO,NO,SMO001,SMO001,,SMO001,384.152405673,8952.5092595,SMO001
2.13211526357416,41.3791855604165,"16","1",Jardins de Can Mantega,Barcelona,Parc,0.89525092595,Sants-Montjuïc,SMO001,23.3045768484,0.5 - 1 Ha,"1",0,,2341.04960431,SMO,1,"1",342.369555451,131.392522823,1306.93057049,"576",1061.94322887,,1,2387.97257088,SI,SMO,NO,SMO001,SMO001,,SMO001,384.152405673,8952.5092595,SMO001
2.13211135943645,41.3792066625922,"16","1",Jardins de Can Mantega,Barcelona,Parc,0.89525092595,Sants-Montjuïc,SMO001,23.3045768484,0.5 - 1 Ha,"1",0,,2341.04960431,SMO,1,"1",342.369555451,131.392522823,1306.93057049,"576",1061.94322887,,1,2387.97257088,SI,SMO,NO,SMO001,SMO001,,SMO001,384.152405673,8952.5092595,SMO001
2.13210387439707,41.3792669204341,"16","1",Jardins de Can Mantega,Barcelona,Parc,0.89525092595,Sants-Montjuïc,SMO001,23.3045768484,0.5 - 1 Ha,"1",0,,2341.04960431,SMO,1,"1",342.369555451,131.392522823,1306.93057049,"576",1061.94322887,,1,2387.97257088,SI,SMO,NO,SMO001,SMO001,,SMO001,384.152405673,8952.5092595,SMO001
2.13210080642227,41.3793222754745,"16","1",Jardins de Can Mantega,Barcelona,Parc,0.89525092595,Sants-Montjuïc,SMO001,23.3045768484,0.5 - 1 Ha,"1",0,,2341.04960431,SMO,1,"1",342.369555451,131.392522823,1306.93057049,"576",1061.94322887,,1,2387.97257088,SI,SMO,NO,SMO001,SMO001,,SMO001,384.152405673,8952.5092595,SMO001
2.13209941674632,41.3793701309085,"16","1",Jardins de Can Mantega,Barcelona,Parc,0.89525092595,Sants-Montjuïc,SMO001,23.3045768484,0.5 - 1 Ha,"1",0,,2341.04960431,SMO,1,"1",342.369555451,131.392522823,1306.93057049,"576",1061.94322887,,1,2387.97257088,SI,SMO,NO,SMO001,SMO001,,SMO001,384.152405673,8952.5092595,SMO001
2.13210183635901,41.3793861194762,"16","1",Jardins de Can Mantega,Barcelona,Parc,0.89525092595,Sants-Montjuïc,SMO001,23.3045768484,0.5 - 1 Ha,"1",0,,2341.04960431,SMO,1,"1",342.369555451,131.392522823,1306.93057049,"576",1061.94322887,,1,2387.97257088,SI,SMO,NO,SMO001,SMO001,,SMO001,384.152405673,8952.5092595,SMO001
2.13210372650694,41.3793941684328,"16","1",Jardins de Can Mantega,Barcelona,Parc,0.89525092595,Sants-Montjuïc,SMO001,23.3045768484,0.5 - 1 Ha,"1",0,,2341.04960431,SMO,1,"1",342.369555451,131.392522823,1306.93057049,"576",1061.94322887,,1,2387.97257088,SI,SMO,NO,SMO001,SMO001,,SMO001,384.152405673,8952.5092595,SMO001
