Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Tipus_Vehicles,Antiguitat,Nombre
2023,01,Ciutat Vella,01,el Raval,001,Turismes,Menys d'un any d'antiguitat,11
2023,01,Ciutat Vella,01,el Raval,001,Turismes,1 any,15
2023,01,Ciutat Vella,01,el Raval,001,Turismes,2 anys,14
2023,01,Ciutat Vella,01,el Raval,001,Turismes,3 anys,13
2023,01,Ciutat Vella,01,el Raval,001,Turismes,4 anys,27
2023,01,Ciutat Vella,01,el Raval,001,Turismes,5 anys,16
2023,01,Ciutat Vella,01,el Raval,001,Turismes,6 anys,18
2023,01,Ciutat Vella,01,el Raval,001,Turismes,7 anys,15
2023,01,Ciutat Vella,01,el Raval,001,Turismes,8 anys,19
2023,01,Ciutat Vella,01,el Raval,001,Turismes,9 anys,8
2023,01,Ciutat Vella,01,el Raval,001,Turismes,10 anys,7
2023,01,Ciutat Vella,01,el Raval,001,Turismes,D'11 a 20 anys,113
2023,01,Ciutat Vella,01,el Raval,001,Turismes,M̩s de 20 anys,84
2023,01,Ciutat Vella,01,el Raval,001,Motos,Menys d'un any d'antiguitat,11
2023,01,Ciutat Vella,01,el Raval,001,Motos,1 any,17
2023,01,Ciutat Vella,01,el Raval,001,Motos,2 anys,8
2023,01,Ciutat Vella,01,el Raval,001,Motos,3 anys,10
2023,01,Ciutat Vella,01,el Raval,001,Motos,4 anys,10
2023,01,Ciutat Vella,01,el Raval,001,Motos,5 anys,2
2023,01,Ciutat Vella,01,el Raval,001,Motos,6 anys,5
2023,01,Ciutat Vella,01,el Raval,001,Motos,7 anys,5
2023,01,Ciutat Vella,01,el Raval,001,Motos,8 anys,5
2023,01,Ciutat Vella,01,el Raval,001,Motos,9 anys,6
2023,01,Ciutat Vella,01,el Raval,001,Motos,10 anys,2
2023,01,Ciutat Vella,01,el Raval,001,Motos,D'11 a 20 anys,51
2023,01,Ciutat Vella,01,el Raval,001,Motos,M̩s de 20 anys,18
2023,01,Ciutat Vella,01,el Raval,001,Ciclomotors,3 anys,332
2023,01,Ciutat Vella,01,el Raval,001,Ciclomotors,7 anys,1
2023,01,Ciutat Vella,01,el Raval,001,Ciclomotors,8 anys,1
2023,01,Ciutat Vella,01,el Raval,001,Ciclomotors,10 anys,1
2023,01,Ciutat Vella,01,el Raval,001,Ciclomotors,D'11 a 20 anys,17
2023,01,Ciutat Vella,01,el Raval,001,Ciclomotors,M̩s de 20 anys,10
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,Menys d'un any d'antiguitat,1
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,1 any,1
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,3 anys,2
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,4 anys,1
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,5 anys,2
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,7 anys,3
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,8 anys,2
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,9 anys,4
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,D'11 a 20 anys,17
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,M̩s de 20 anys,6
