Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Tipus_Propulsio,Nombre
2023,01,Ciutat Vella,03,la Barceloneta,035,Altres,7
2023,01,Ciutat Vella,03,la Barceloneta,035,No consta,2
2023,01,Ciutat Vella,03,la Barceloneta,036,CombustiÃ³ Interna-Gasolina,318
2023,01,Ciutat Vella,03,la Barceloneta,036,CombustiÃ³ Interna-Gasoil,132
2023,01,Ciutat Vella,03,la Barceloneta,036,Elèctrica,93
2023,01,Ciutat Vella,03,la Barceloneta,036,Híbrid,13
2023,01,Ciutat Vella,03,la Barceloneta,036,Altres,5
2023,01,Ciutat Vella,03,la Barceloneta,036,No consta,1
2023,01,Ciutat Vella,03,la Barceloneta,037,CombustiÃ³ Interna-Gasolina,344
2023,01,Ciutat Vella,03,la Barceloneta,037,CombustiÃ³ Interna-Gasoil,146
2023,01,Ciutat Vella,03,la Barceloneta,037,Elèctrica,2
2023,01,Ciutat Vella,03,la Barceloneta,037,Híbrid,13
2023,01,Ciutat Vella,03,la Barceloneta,037,Altres,9
2023,01,Ciutat Vella,03,la Barceloneta,037,No consta,2
2023,01,Ciutat Vella,03,la Barceloneta,038,CombustiÃ³ Interna-Gasolina,311
2023,01,Ciutat Vella,03,la Barceloneta,038,CombustiÃ³ Interna-Gasoil,128
2023,01,Ciutat Vella,03,la Barceloneta,038,Elèctrica,5
2023,01,Ciutat Vella,03,la Barceloneta,038,Híbrid,20
2023,01,Ciutat Vella,03,la Barceloneta,038,Altres,10
2023,01,Ciutat Vella,03,la Barceloneta,038,No consta,2
2023,01,Ciutat Vella,03,la Barceloneta,039,CombustiÃ³ Interna-Gasolina,347
2023,01,Ciutat Vella,03,la Barceloneta,039,CombustiÃ³ Interna-Gasoil,138
2023,01,Ciutat Vella,03,la Barceloneta,039,Elèctrica,4
2023,01,Ciutat Vella,03,la Barceloneta,039,Híbrid,15
2023,01,Ciutat Vella,03,la Barceloneta,039,Altres,6
2023,01,Ciutat Vella,03,la Barceloneta,039,No consta,1
2023,01,Ciutat Vella,03,la Barceloneta,040,CombustiÃ³ Interna-Gasolina,284
2023,01,Ciutat Vella,03,la Barceloneta,040,CombustiÃ³ Interna-Gasoil,110
2023,01,Ciutat Vella,03,la Barceloneta,040,Elèctrica,1
2023,01,Ciutat Vella,03,la Barceloneta,040,Híbrid,12
2023,01,Ciutat Vella,03,la Barceloneta,040,Altres,21
2023,01,Ciutat Vella,03,la Barceloneta,040,No consta,1
2023,01,Ciutat Vella,03,la Barceloneta,041,CombustiÃ³ Interna-Gasolina,390
2023,01,Ciutat Vella,03,la Barceloneta,041,CombustiÃ³ Interna-Gasoil,151
2023,01,Ciutat Vella,03,la Barceloneta,041,Elèctrica,5
2023,01,Ciutat Vella,03,la Barceloneta,041,Híbrid,13
2023,01,Ciutat Vella,03,la Barceloneta,041,Altres,12
2023,01,Ciutat Vella,03,la Barceloneta,041,No consta,2
2023,01,Ciutat Vella,03,la Barceloneta,042,CombustiÃ³ Interna-Gasolina,381
2023,01,Ciutat Vella,03,la Barceloneta,042,CombustiÃ³ Interna-Gasoil,202
2023,01,Ciutat Vella,03,la Barceloneta,042,Elèctrica,4
2023,01,Ciutat Vella,03,la Barceloneta,042,Híbrid,21
2023,01,Ciutat Vella,03,la Barceloneta,042,Altres,14
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",043,CombustiÃ³ Interna-Gasolina,1992
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",043,CombustiÃ³ Interna-Gasoil,213
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",043,Elèctrica,3739
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",043,Híbrid,255
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",043,Altres,19
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",043,No consta,2
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",044,CombustiÃ³ Interna-Gasolina,399
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",044,CombustiÃ³ Interna-Gasoil,166
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",044,Elèctrica,4
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",044,Híbrid,13
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",044,Altres,4
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",044,No consta,3
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",045,CombustiÃ³ Interna-Gasolina,418
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",045,CombustiÃ³ Interna-Gasoil,179
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",045,Elèctrica,6
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",045,Híbrid,17
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",045,Altres,8
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",045,No consta,2
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",046,CombustiÃ³ Interna-Gasolina,413
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",046,CombustiÃ³ Interna-Gasoil,176
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",046,Elèctrica,6
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",046,Híbrid,17
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",046,Altres,4
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",046,No consta,3
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",047,CombustiÃ³ Interna-Gasolina,356
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",047,CombustiÃ³ Interna-Gasoil,151
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",047,Elèctrica,5
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",047,Híbrid,13
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",047,Altres,7
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",047,No consta,7
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",048,CombustiÃ³ Interna-Gasolina,368
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",048,CombustiÃ³ Interna-Gasoil,194
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",048,Elèctrica,2
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",048,Híbrid,18
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",048,Altres,3
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",048,No consta,4
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",049,CombustiÃ³ Interna-Gasolina,302
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",049,CombustiÃ³ Interna-Gasoil,117
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",049,Elèctrica,7
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",049,Híbrid,17
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",049,Altres,7
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",049,No consta,3
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",050,CombustiÃ³ Interna-Gasolina,300
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",050,CombustiÃ³ Interna-Gasoil,136
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",050,Elèctrica,5
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",050,Híbrid,14
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",050,Altres,4
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",051,CombustiÃ³ Interna-Gasolina,295
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",051,CombustiÃ³ Interna-Gasoil,125
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",051,Elèctrica,3
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",051,Híbrid,17
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",051,Altres,5
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",051,No consta,1
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",052,CombustiÃ³ Interna-Gasolina,662
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",052,CombustiÃ³ Interna-Gasoil,306
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",052,Elèctrica,11
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",052,Híbrid,43
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",052,Altres,11
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",052,No consta,6
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",053,CombustiÃ³ Interna-Gasolina,378
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",053,CombustiÃ³ Interna-Gasoil,189
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",053,Elèctrica,3
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",053,Híbrid,21
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",053,Altres,8
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",053,No consta,3
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",054,CombustiÃ³ Interna-Gasolina,285
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",054,CombustiÃ³ Interna-Gasoil,101
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",054,Elèctrica,3
