Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Tipus_Propulsio,Nombre
2023,01,Ciutat Vella,01,el Raval,018,Hybride,6
2023,01,Ciutat Vella,01,el Raval,018,Autres,5
2023,01,Ciutat Vella,01,el Raval,019,Combustion Essence,420
2023,01,Ciutat Vella,01,el Raval,019,Combustion Diesel,213
2023,01,Ciutat Vella,01,el Raval,019,Elèctrica,1
2023,01,Ciutat Vella,01,el Raval,019,Hybride,18
2023,01,Ciutat Vella,01,el Raval,019,Autres,4
2023,01,Ciutat Vella,01,el Raval,020,Combustion Essence,415
2023,01,Ciutat Vella,01,el Raval,020,Combustion Diesel,158
2023,01,Ciutat Vella,01,el Raval,020,Elèctrica,8
2023,01,Ciutat Vella,01,el Raval,020,Hybride,19
2023,01,Ciutat Vella,01,el Raval,020,Autres,5
2023,01,Ciutat Vella,01,el Raval,021,Combustion Essence,479
2023,01,Ciutat Vella,01,el Raval,021,Combustion Diesel,202
2023,01,Ciutat Vella,01,el Raval,021,Elèctrica,6
2023,01,Ciutat Vella,01,el Raval,021,Hybride,35
2023,01,Ciutat Vella,01,el Raval,021,Autres,32
2023,01,Ciutat Vella,02,el Barri GÃ²tic,022,Combustion Essence,362
2023,01,Ciutat Vella,02,el Barri GÃ²tic,022,Combustion Diesel,127
2023,01,Ciutat Vella,02,el Barri GÃ²tic,022,Elèctrica,6
2023,01,Ciutat Vella,02,el Barri GÃ²tic,022,Hybride,21
2023,01,Ciutat Vella,02,el Barri GÃ²tic,022,Autres,5
2023,01,Ciutat Vella,02,el Barri GÃ²tic,023,Combustion Essence,503
2023,01,Ciutat Vella,02,el Barri GÃ²tic,023,Combustion Diesel,248
2023,01,Ciutat Vella,02,el Barri GÃ²tic,023,Elèctrica,9
2023,01,Ciutat Vella,02,el Barri GÃ²tic,023,Hybride,41
2023,01,Ciutat Vella,02,el Barri GÃ²tic,023,Autres,8
2023,01,Ciutat Vella,02,el Barri GÃ²tic,025,Combustion Essence,1525
2023,01,Ciutat Vella,02,el Barri GÃ²tic,025,Combustion Diesel,1778
2023,01,Ciutat Vella,02,el Barri GÃ²tic,025,Elèctrica,10
2023,01,Ciutat Vella,02,el Barri GÃ²tic,025,Hybride,27
2023,01,Ciutat Vella,02,el Barri GÃ²tic,025,Autres,51
2023,01,Ciutat Vella,02,el Barri GÃ²tic,026,Combustion Essence,689
2023,01,Ciutat Vella,02,el Barri GÃ²tic,026,Combustion Diesel,494
2023,01,Ciutat Vella,02,el Barri GÃ²tic,026,Elèctrica,34
2023,01,Ciutat Vella,02,el Barri GÃ²tic,026,Hybride,44
2023,01,Ciutat Vella,02,el Barri GÃ²tic,026,Autres,12
2023,01,Ciutat Vella,02,el Barri GÃ²tic,027,Combustion Essence,987
2023,01,Ciutat Vella,02,el Barri GÃ²tic,027,Combustion Diesel,709
2023,01,Ciutat Vella,02,el Barri GÃ²tic,027,Elèctrica,17
2023,01,Ciutat Vella,02,el Barri GÃ²tic,027,Hybride,45
2023,01,Ciutat Vella,02,el Barri GÃ²tic,027,Autres,13
2023,01,Ciutat Vella,02,el Barri GÃ²tic,028,Combustion Essence,409
2023,01,Ciutat Vella,02,el Barri GÃ²tic,028,Combustion Diesel,172
2023,01,Ciutat Vella,02,el Barri GÃ²tic,028,Elèctrica,11
2023,01,Ciutat Vella,02,el Barri GÃ²tic,028,Hybride,23
2023,01,Ciutat Vella,02,el Barri GÃ²tic,028,Autres,2
2023,01,Ciutat Vella,02,el Barri GÃ²tic,029,Combustion Essence,333
2023,01,Ciutat Vella,02,el Barri GÃ²tic,029,Combustion Diesel,113
2023,01,Ciutat Vella,02,el Barri GÃ²tic,029,Elèctrica,5
2023,01,Ciutat Vella,02,el Barri GÃ²tic,029,Hybride,17
2023,01,Ciutat Vella,02,el Barri GÃ²tic,029,Autres,6
2023,01,Ciutat Vella,02,el Barri GÃ²tic,030,Combustion Essence,751
2023,01,Ciutat Vella,02,el Barri GÃ²tic,030,Combustion Diesel,262
2023,01,Ciutat Vella,02,el Barri GÃ²tic,030,Elèctrica,49
2023,01,Ciutat Vella,02,el Barri GÃ²tic,030,Hybride,35
2023,01,Ciutat Vella,02,el Barri GÃ²tic,030,Autres,60
2023,01,Ciutat Vella,02,el Barri GÃ²tic,031,Combustion Essence,444
2023,01,Ciutat Vella,02,el Barri GÃ²tic,031,Combustion Diesel,236
2023,01,Ciutat Vella,02,el Barri GÃ²tic,031,Elèctrica,16
2023,01,Ciutat Vella,02,el Barri GÃ²tic,031,Hybride,9
2023,01,Ciutat Vella,02,el Barri GÃ²tic,031,Autres,4
2023,01,Ciutat Vella,03,la Barceloneta,032,Combustion Essence,605
2023,01,Ciutat Vella,03,la Barceloneta,032,Combustion Diesel,301
2023,01,Ciutat Vella,03,la Barceloneta,032,Elèctrica,23
2023,01,Ciutat Vella,03,la Barceloneta,032,Hybride,36
2023,01,Ciutat Vella,03,la Barceloneta,032,Autres,8
2023,01,Ciutat Vella,03,la Barceloneta,033,Combustion Essence,293
2023,01,Ciutat Vella,03,la Barceloneta,033,Combustion Diesel,104
2023,01,Ciutat Vella,03,la Barceloneta,033,Hybride,12
2023,01,Ciutat Vella,03,la Barceloneta,033,Autres,2
2023,01,Ciutat Vella,03,la Barceloneta,034,Combustion Essence,239
2023,01,Ciutat Vella,03,la Barceloneta,034,Combustion Diesel,106
2023,01,Ciutat Vella,03,la Barceloneta,034,Elèctrica,1
2023,01,Ciutat Vella,03,la Barceloneta,034,Hybride,4
2023,01,Ciutat Vella,03,la Barceloneta,034,Autres,3
2023,01,Ciutat Vella,03,la Barceloneta,035,Combustion Essence,316
2023,01,Ciutat Vella,03,la Barceloneta,035,Combustion Diesel,148
